realtime_start,value,date,realtime_end
2019-12-06,3.9,1992-02-01,2019-12-06
2019-12-06,10.0,1992-03-01,2019-12-06
2019-12-06,4.7,1992-04-01,2019-12-06
2019-12-06,4.1,1992-05-01,2019-12-06
2019-12-06,-2.9,1992-06-01,2019-12-06
2019-12-06,-0.1,1992-07-01,2019-12-06
2019-12-06,9.0,1992-08-01,2019-12-06
2019-12-06,-7.1,1992-09-01,2019-12-06
2019-12-06,8.3,1992-10-01,2019-12-06
2019-12-06,14.1,1992-11-01,2019-12-06
2019-12-06,53.4,1992-12-01,2019-12-06
2019-12-06,-53.3,1993-01-01,2019-12-06
2019-12-06,-2.2,1993-02-01,2019-12-06
2019-12-06,14.8,1993-03-01,2019-12-06
2019-12-06,5.9,1993-04-01,2019-12-06
2019-12-06,3.9,1993-05-01,2019-12-06
2019-12-06,-2.1,1993-06-01,2019-12-06
2019-12-06,1.1,1993-07-01,2019-12-06
2019-12-06,5.7,1993-08-01,2019-12-06
2019-12-06,-4.8,1993-09-01,2019-12-06
2019-12-06,5.5,1993-10-01,2019-12-06
2019-12-06,15.9,1993-11-01,2019-12-06
2019-12-06,50.5,1993-12-01,2019-12-06
2019-12-06,-54.1,1994-01-01,2019-12-06
2019-12-06,2.1,1994-02-01,2019-12-06
2019-12-06,20.2,1994-03-01,2019-12-06
2019-12-06,-1.8,1994-04-01,2019-12-06
2019-12-06,3.7,1994-05-01,2019-12-06
2019-12-06,1.6,1994-06-01,2019-12-06
2019-12-06,-2.2,1994-07-01,2019-12-06
2019-12-06,9.8,1994-08-01,2019-12-06
2019-12-06,-5.9,1994-09-01,2019-12-06
2019-12-06,5.4,1994-10-01,2019-12-06
2019-12-06,16.5,1994-11-01,2019-12-06
2019-12-06,49.8,1994-12-01,2019-12-06
2019-12-06,-53.3,1995-01-01,2019-12-06
2019-12-06,-1.7,1995-02-01,2019-12-06
2019-12-06,18.2,1995-03-01,2019-12-06
2019-12-06,-0.1,1995-04-01,2019-12-06
2019-12-06,5.7,1995-05-01,2019-12-06
2019-12-06,0.2,1995-06-01,2019-12-06
2019-12-06,-3.1,1995-07-01,2019-12-06
2019-12-06,9.4,1995-08-01,2019-12-06
2019-12-06,-5.2,1995-09-01,2019-12-06
2019-12-06,1.0,1995-10-01,2019-12-06
2019-12-06,20.8,1995-11-01,2019-12-06
2019-12-06,45.0,1995-12-01,2019-12-06
2019-12-06,-52.8,1996-01-01,2019-12-06
2019-12-06,5.7,1996-02-01,2019-12-06
2019-12-06,12.0,1996-03-01,2019-12-06
2019-12-06,-0.1,1996-04-01,2019-12-06
2019-12-06,7.9,1996-05-01,2019-12-06
2019-12-06,-3.5,1996-06-01,2019-12-06
2019-12-06,-2.0,1996-07-01,2019-12-06
2019-12-06,11.8,1996-08-01,2019-12-06
2019-12-06,-9.6,1996-09-01,2019-12-06
2019-12-06,6.6,1996-10-01,2019-12-06
2019-12-06,15.8,1996-11-01,2019-12-06
2019-12-06,44.4,1996-12-01,2019-12-06
2019-12-06,-49.9,1997-01-01,2019-12-06
2019-12-06,-0.3,1997-02-01,2019-12-06
2019-12-06,16.4,1997-03-01,2019-12-06
2019-12-06,-4.4,1997-04-01,2019-12-06
2019-12-06,9.7,1997-05-01,2019-12-06
2019-12-06,-3.6,1997-06-01,2019-12-06
2019-12-06,0.1,1997-07-01,2019-12-06
2019-12-06,9.4,1997-08-01,2019-12-06
2019-12-06,-9.3,1997-09-01,2019-12-06
2019-12-06,7.4,1997-10-01,2019-12-06
2019-12-06,14.4,1997-11-01,2019-12-06
2019-12-06,44.7,1997-12-01,2019-12-06
2019-12-06,-48.4,1998-01-01,2019-12-06
2019-12-06,-0.1,1998-02-01,2019-12-06
2019-12-06,11.9,1998-03-01,2019-12-06
2019-12-06,2.8,1998-04-01,2019-12-06
2019-12-06,4.8,1998-05-01,2019-12-06
