realtime_start,value,date,realtime_end
2019-12-06,10845,1992-01-01,2019-12-06
2019-12-06,10904,1992-02-01,2019-12-06
2019-12-06,10986,1992-03-01,2019-12-06
2019-12-06,10738,1992-04-01,2019-12-06
2019-12-06,10777,1992-05-01,2019-12-06
2019-12-06,10790,1992-06-01,2019-12-06
2019-12-06,10785,1992-07-01,2019-12-06
2019-12-06,10915,1992-08-01,2019-12-06
2019-12-06,10980,1992-09-01,2019-12-06
2019-12-06,10971,1992-10-01,2019-12-06
2019-12-06,10873,1992-11-01,2019-12-06
2019-12-06,11082,1992-12-01,2019-12-06
2019-12-06,11333,1993-01-01,2019-12-06
2019-12-06,11410,1993-02-01,2019-12-06
2019-12-06,11184,1993-03-01,2019-12-06
2019-12-06,11417,1993-04-01,2019-12-06
2019-12-06,11720,1993-05-01,2019-12-06
2019-12-06,11669,1993-06-01,2019-12-06
2019-12-06,11781,1993-07-01,2019-12-06
2019-12-06,11875,1993-08-01,2019-12-06
2019-12-06,11786,1993-09-01,2019-12-06
2019-12-06,11908,1993-10-01,2019-12-06
2019-12-06,12297,1993-11-01,2019-12-06
2019-12-06,12583,1993-12-01,2019-12-06
2019-12-06,12316,1994-01-01,2019-12-06
2019-12-06,12233,1994-02-01,2019-12-06
2019-12-06,12767,1994-03-01,2019-12-06
2019-12-06,13076,1994-04-01,2019-12-06
2019-12-06,13033,1994-05-01,2019-12-06
2019-12-06,12987,1994-06-01,2019-12-06
2019-12-06,13130,1994-07-01,2019-12-06
2019-12-06,13224,1994-08-01,2019-12-06
2019-12-06,13375,1994-09-01,2019-12-06
2019-12-06,13550,1994-10-01,2019-12-06
2019-12-06,13384,1994-11-01,2019-12-06
2019-12-06,13981,1994-12-01,2019-12-06
2019-12-06,13738,1995-01-01,2019-12-06
2019-12-06,13613,1995-02-01,2019-12-06
2019-12-06,13587,1995-03-01,2019-12-06
2019-12-06,13415,1995-04-01,2019-12-06
2019-12-06,13370,1995-05-01,2019-12-06
2019-12-06,13548,1995-06-01,2019-12-06
2019-12-06,13645,1995-07-01,2019-12-06
2019-12-06,13683,1995-08-01,2019-12-06
2019-12-06,13837,1995-09-01,2019-12-06
2019-12-06,13932,1995-10-01,2019-12-06
2019-12-06,14092,1995-11-01,2019-12-06
2019-12-06,14683,1995-12-01,2019-12-06
2019-12-06,14023,1996-01-01,2019-12-06
2019-12-06,14036,1996-02-01,2019-12-06
2019-12-06,14153,1996-03-01,2019-12-06
2019-12-06,14340,1996-04-01,2019-12-06
2019-12-06,14450,1996-05-01,2019-12-06
2019-12-06,14902,1996-06-01,2019-12-06
2019-12-06,14826,1996-07-01,2019-12-06
2019-12-06,14981,1996-08-01,2019-12-06
2019-12-06,14989,1996-09-01,2019-12-06
2019-12-06,15040,1996-10-01,2019-12-06
2019-12-06,15264,1996-11-01,2019-12-06
2019-12-06,14980,1996-12-01,2019-12-06
2019-12-06,15197,1997-01-01,2019-12-06
2019-12-06,15561,1997-02-01,2019-12-06
2019-12-06,15862,1997-03-01,2019-12-06
2019-12-06,15709,1997-04-01,2019-12-06
2019-12-06,15805,1997-05-01,2019-12-06
