realtime_start,value,date,realtime_end
2019-12-06,6358,1992-01-01,2019-12-06
2019-12-06,6284,1992-02-01,2019-12-06
2019-12-06,6420,1992-03-01,2019-12-06
2019-12-06,6573,1992-04-01,2019-12-06
2019-12-06,6491,1992-05-01,2019-12-06
2019-12-06,6342,1992-06-01,2019-12-06
2019-12-06,6236,1992-07-01,2019-12-06
2019-12-06,6280,1992-08-01,2019-12-06
2019-12-06,6074,1992-09-01,2019-12-06
2019-12-06,6439,1992-10-01,2019-12-06
2019-12-06,6175,1992-11-01,2019-12-06
2019-12-06,8119,1992-12-01,2019-12-06
2019-12-06,6163,1993-01-01,2019-12-06
2019-12-06,6198,1993-02-01,2019-12-06
2019-12-06,6643,1993-03-01,2019-12-06
2019-12-06,6654,1993-04-01,2019-12-06
2019-12-06,6595,1993-05-01,2019-12-06
2019-12-06,6519,1993-06-01,2019-12-06
2019-12-06,6539,1993-07-01,2019-12-06
2019-12-06,6415,1993-08-01,2019-12-06
2019-12-06,6311,1993-09-01,2019-12-06
2019-12-06,6480,1993-10-01,2019-12-06
2019-12-06,6535,1993-11-01,2019-12-06
2019-12-06,8655,1993-12-01,2019-12-06
2019-12-06,6504,1994-01-01,2019-12-06
2019-12-06,6205,1994-02-01,2019-12-06
2019-12-06,6926,1994-03-01,2019-12-06
2019-12-06,6622,1994-04-01,2019-12-06
2019-12-06,6788,1994-05-01,2019-12-06
2019-12-06,6670,1994-06-01,2019-12-06
2019-12-06,6573,1994-07-01,2019-12-06
2019-12-06,6829,1994-08-01,2019-12-06
2019-12-06,6570,1994-09-01,2019-12-06
2019-12-06,6777,1994-10-01,2019-12-06
2019-12-06,6800,1994-11-01,2019-12-06
2019-12-06,8730,1994-12-01,2019-12-06
2019-12-06,6829,1995-01-01,2019-12-06
2019-12-06,6614,1995-02-01,2019-12-06
2019-12-06,7135,1995-03-01,2019-12-06
2019-12-06,6954,1995-04-01,2019-12-06
2019-12-06,7274,1995-05-01,2019-12-06
2019-12-06,7034,1995-06-01,2019-12-06
2019-12-06,6793,1995-07-01,2019-12-06
2019-12-06,7035,1995-08-01,2019-12-06
2019-12-06,6859,1995-09-01,2019-12-06
2019-12-06,7083,1995-10-01,2019-12-06
2019-12-06,7208,1995-11-01,2019-12-06
2019-12-06,9022,1995-12-01,2019-12-06
2019-12-06,7134,1996-01-01,2019-12-06
2019-12-06,7190,1996-02-01,2019-12-06
2019-12-06,7510,1996-03-01,2019-12-06
2019-12-06,7425,1996-04-01,2019-12-06
2019-12-06,7755,1996-05-01,2019-12-06
2019-12-06,7264,1996-06-01,2019-12-06
2019-12-06,7484,1996-07-01,2019-12-06
2019-12-06,7629,1996-08-01,2019-12-06
2019-12-06,7208,1996-09-01,2019-12-06
2019-12-06,7811,1996-10-01,2019-12-06
2019-12-06,7699,1996-11-01,2019-12-06
2019-12-06,9701,1996-12-01,2019-12-06
2019-12-06,7889,1997-01-01,2019-12-06
2019-12-06,7615,1997-02-01,2019-12-06
2019-12-06,8330,1997-03-01,2019-12-06
2019-12-06,7885,1997-04-01,2019-12-06
2019-12-06,8300,1997-05-01,2019-12-06
2019-12-06,7968,1997-06-01,2019-12-06
