realtime_start,value,date,realtime_end
2019-12-06,164095,1992-01-01,2019-12-06
2019-12-06,164213,1992-02-01,2019-12-06
2019-12-06,163721,1992-03-01,2019-12-06
2019-12-06,164709,1992-04-01,2019-12-06
2019-12-06,165612,1992-05-01,2019-12-06
2019-12-06,166077,1992-06-01,2019-12-06
2019-12-06,167257,1992-07-01,2019-12-06
2019-12-06,167800,1992-08-01,2019-12-06
2019-12-06,169400,1992-09-01,2019-12-06
2019-12-06,170625,1992-10-01,2019-12-06
2019-12-06,171003,1992-11-01,2019-12-06
2019-12-06,173105,1992-12-01,2019-12-06
2019-12-06,175108,1993-01-01,2019-12-06
2019-12-06,173744,1993-02-01,2019-12-06
2019-12-06,172306,1993-03-01,2019-12-06
2019-12-06,176749,1993-04-01,2019-12-06
2019-12-06,178426,1993-05-01,2019-12-06
2019-12-06,178157,1993-06-01,2019-12-06
2019-12-06,180743,1993-07-01,2019-12-06
2019-12-06,180707,1993-08-01,2019-12-06
2019-12-06,181773,1993-09-01,2019-12-06
2019-12-06,182884,1993-10-01,2019-12-06
2019-12-06,184747,1993-11-01,2019-12-06
2019-12-06,186399,1993-12-01,2019-12-06
2019-12-06,185142,1994-01-01,2019-12-06
2019-12-06,188074,1994-02-01,2019-12-06
2019-12-06,191579,1994-03-01,2019-12-06
2019-12-06,191639,1994-04-01,2019-12-06
2019-12-06,190929,1994-05-01,2019-12-06
2019-12-06,193130,1994-06-01,2019-12-06
2019-12-06,193743,1994-07-01,2019-12-06
2019-12-06,196163,1994-08-01,2019-12-06
2019-12-06,197765,1994-09-01,2019-12-06
2019-12-06,199571,1994-10-01,2019-12-06
2019-12-06,199731,1994-11-01,2019-12-06
2019-12-06,200702,1994-12-01,2019-12-06
2019-12-06,201573,1995-01-01,2019-12-06
2019-12-06,198399,1995-02-01,2019-12-06
2019-12-06,200247,1995-03-01,2019-12-06
2019-12-06,201032,1995-04-01,2019-12-06
2019-12-06,202986,1995-05-01,2019-12-06
2019-12-06,205500,1995-06-01,2019-12-06
2019-12-06,204920,1995-07-01,2019-12-06
2019-12-06,206521,1995-08-01,2019-12-06
2019-12-06,207006,1995-09-01,2019-12-06
2019-12-06,206176,1995-10-01,2019-12-06
2019-12-06,208664,1995-11-01,2019-12-06
2019-12-06,210399,1995-12-01,2019-12-06
2019-12-06,208699,1996-01-01,2019-12-06
2019-12-06,212008,1996-02-01,2019-12-06
2019-12-06,213891,1996-03-01,2019-12-06
2019-12-06,214676,1996-04-01,2019-12-06
2019-12-06,216299,1996-05-01,2019-12-06
2019-12-06,216068,1996-06-01,2019-12-06
2019-12-06,216332,1996-07-01,2019-12-06
2019-12-06,216358,1996-08-01,2019-12-06
2019-12-06,219256,1996-09-01,2019-12-06
2019-12-06,221060,1996-10-01,2019-12-06
2019-12-06,220963,1996-11-01,2019-12-06
2019-12-06,221991,1996-12-01,2019-12-06
2019-12-06,223481,1997-01-01,2019-12-06
2019-12-06,225422,1997-02-01,2019-12-06
2019-12-06,226161,1997-03-01,2019-12-06
2019-12-06,224615,1997-04-01,2019-12-06
2019-12-06,222929,1997-05-01,2019-12-06
2019-12-06,226057,1997-06-01,2019-12-06
2019-12-06,228703,1997-07-01,2019-12-06
2019-12-06,229309,1997-08-01,2019-12-06
2019-12-06,230312,1997-09-01,2019-12-06
2019-12-06,229836,1997-10-01,2019-12-06
2019-12-06,230440,1997-11-01,2019-12-06
2019-12-06,231181,1997-12-01,2019-12-06
2019-12-06,231587,1998-01-01,2019-12-06
2019-12-06,231684,1998-02-01,2019-12-06
2019-12-06,233083,1998-03-01,2019-12-06
2019-12-06,235986,1998-04-01,2019-12-06
2019-12-06,237075,1998-05-01,2019-12-06
2019-12-06,238971,1998-06-01,2019-12-06
2019-12-06,237411,1998-07-01,2019-12-06
2019-12-06,236379,1998-08-01,2019-12-06
2019-12-06,238550,1998-09-01,2019-12-06
2019-12-06,242549,1998-10-01,2019-12-06
2019-12-06,244291,1998-11-01,2019-12-06
2019-12-06,246530,1998-12-01,2019-12-06
2019-12-06,246868,1999-01-01,2019-12-06
2019-12-06,249520,1999-02-01,2019-12-06
2019-12-06,250667,1999-03-01,2019-12-06
2019-12-06,252477,1999-04-01,2019-12-06
2019-12-06,254735,1999-05-01,2019-12-06
2019-12-06,255449,1999-06-01,2019-12-06
2019-12-06,257456,1999-07-01,2019-12-06
2019-12-06,260230,1999-08-01,2019-12-06
2019-12-06,261317,1999-09-01,2019-12-06
2019-12-06,261818,1999-10-01,2019-12-06
2019-12-06,264965,1999-11-01,2019-12-06
2019-12-06,269863,1999-12-01,2019-12-06
2019-12-06,268044,2000-01-01,2019-12-06
2019-12-06,272020,2000-02-01,2019-12-06
2019-12-06,275192,2000-03-01,2019-12-06
2019-12-06,271046,2000-04-01,2019-12-06
2019-12-06,271394,2000-05-01,2019-12-06
2019-12-06,273422,2000-06-01,2019-12-06
2019-12-06,272630,2000-07-01,2019-12-06
2019-12-06,272918,2000-08-01,2019-12-06
2019-12-06,277548,2000-09-01,2019-12-06
2019-12-06,276927,2000-10-01,2019-12-06
2019-12-06,276029,2000-11-01,2019-12-06
2019-12-06,275791,2000-12-01,2019-12-06
2019-12-06,278834,2001-01-01,2019-12-06
2019-12-06,278773,2001-02-01,2019-12-06
2019-12-06,276450,2001-03-01,2019-12-06
2019-12-06,280808,2001-04-01,2019-12-06
2019-12-06,281496,2001-05-01,2019-12-06
2019-12-06,280401,2001-06-01,2019-12-06
2019-12-06,279504,2001-07-01,2019-12-06
2019-12-06,281413,2001-08-01,2019-12-06
2019-12-06,276084,2001-09-01,2019-12-06
2019-12-06,294540,2001-10-01,2019-12-06
2019-12-06,287111,2001-11-01,2019-12-06
2019-12-06,283705,2001-12-01,2019-12-06
2019-12-06,283508,2002-01-01,2019-12-06
2019-12-06,285054,2002-02-01,2019-12-06
2019-12-06,284262,2002-03-01,2019-12-06
2019-12-06,288833,2002-04-01,2019-12-06
2019-12-06,284951,2002-05-01,2019-12-06
2019-12-06,287372,2002-06-01,2019-12-06
2019-12-06,290385,2002-07-01,2019-12-06
2019-12-06,292650,2002-08-01,2019-12-06
2019-12-06,288410,2002-09-01,2019-12-06
2019-12-06,289576,2002-10-01,2019-12-06
2019-12-06,291484,2002-11-01,2019-12-06
2019-12-06,293947,2002-12-01,2019-12-06
2019-12-06,295248,2003-01-01,2019-12-06
2019-12-06,291167,2003-02-01,2019-12-06
2019-12-06,296325,2003-03-01,2019-12-06
2019-12-06,295600,2003-04-01,2019-12-06
2019-12-06,296410,2003-05-01,2019-12-06
2019-12-06,299626,2003-06-01,2019-12-06
2019-12-06,302747,2003-07-01,2019-12-06
2019-12-06,307809,2003-08-01,2019-12-06
2019-12-06,305933,2003-09-01,2019-12-06
2019-12-06,304809,2003-10-01,2019-12-06
2019-12-06,308527,2003-11-01,2019-12-06
2019-12-06,307407,2003-12-01,2019-12-06
2019-12-06,309254,2004-01-01,2019-12-06
2019-12-06,311393,2004-02-01,2019-12-06
2019-12-06,316912,2004-03-01,2019-12-06
2019-12-06,313512,2004-04-01,2019-12-06
2019-12-06,318964,2004-05-01,2019-12-06
2019-12-06,314958,2004-06-01,2019-12-06
2019-12-06,318549,2004-07-01,2019-12-06
2019-12-06,318977,2004-08-01,2019-12-06
2019-12-06,324569,2004-09-01,2019-12-06
2019-12-06,326740,2004-10-01,2019-12-06
2019-12-06,327836,2004-11-01,2019-12-06
2019-12-06,331874,2004-12-01,2019-12-06
2019-12-06,328696,2005-01-01,2019-12-06
2019-12-06,333026,2005-02-01,2019-12-06
2019-12-06,333581,2005-03-01,2019-12-06
2019-12-06,336583,2005-04-01,2019-12-06
2019-12-06,334522,2005-05-01,2019-12-06
2019-12-06,343998,2005-06-01,2019-12-06
2019-12-06,346576,2005-07-01,2019-12-06
2019-12-06,343307,2005-08-01,2019-12-06
2019-12-06,343956,2005-09-01,2019-12-06
2019-12-06,344097,2005-10-01,2019-12-06
2019-12-06,347325,2005-11-01,2019-12-06
2019-12-06,347405,2005-12-01,2019-12-06
2019-12-06,357331,2006-01-01,2019-12-06
2019-12-06,354706,2006-02-01,2019-12-06
2019-12-06,355665,2006-03-01,2019-12-06
2019-12-06,357423,2006-04-01,2019-12-06
2019-12-06,356704,2006-05-01,2019-12-06
2019-12-06,357879,2006-06-01,2019-12-06
2019-12-06,359006,2006-07-01,2019-12-06
2019-12-06,360691,2006-08-01,2019-12-06
2019-12-06,358961,2006-09-01,2019-12-06
2019-12-06,358462,2006-10-01,2019-12-06
2019-12-06,359266,2006-11-01,2019-12-06
2019-12-06,363730,2006-12-01,2019-12-06
2019-12-06,363616,2007-01-01,2019-12-06
2019-12-06,364006,2007-02-01,2019-12-06
2019-12-06,367158,2007-03-01,2019-12-06
2019-12-06,366187,2007-04-01,2019-12-06
2019-12-06,370934,2007-05-01,2019-12-06
2019-12-06,368154,2007-06-01,2019-12-06
2019-12-06,369614,2007-07-01,2019-12-06
2019-12-06,371358,2007-08-01,2019-12-06
2019-12-06,372869,2007-09-01,2019-12-06
2019-12-06,375289,2007-10-01,2019-12-06
2019-12-06,378860,2007-11-01,2019-12-06
2019-12-06,374298,2007-12-01,2019-12-06
2019-12-06,375236,2008-01-01,2019-12-06
2019-12-06,371833,2008-02-01,2019-12-06
2019-12-06,372745,2008-03-01,2019-12-06
2019-12-06,372572,2008-04-01,2019-12-06
2019-12-06,376036,2008-05-01,2019-12-06
2019-12-06,376455,2008-06-01,2019-12-06
2019-12-06,375038,2008-07-01,2019-12-06
2019-12-06,372284,2008-08-01,2019-12-06
2019-12-06,366729,2008-09-01,2019-12-06
2019-12-06,352950,2008-10-01,2019-12-06
2019-12-06,339350,2008-11-01,2019-12-06
2019-12-06,332091,2008-12-01,2019-12-06
2019-12-06,336929,2009-01-01,2019-12-06
2019-12-06,335576,2009-02-01,2019-12-06
2019-12-06,329747,2009-03-01,2019-12-06
2019-12-06,331352,2009-04-01,2019-12-06
2019-12-06,334256,2009-05-01,2019-12-06
2019-12-06,339883,2009-06-01,2019-12-06
2019-12-06,340517,2009-07-01,2019-12-06
2019-12-06,346668,2009-08-01,2019-12-06
2019-12-06,338507,2009-09-01,2019-12-06
2019-12-06,341654,2009-10-01,2019-12-06
2019-12-06,344375,2009-11-01,2019-12-06
2019-12-06,346072,2009-12-01,2019-12-06
2019-12-06,346189,2010-01-01,2019-12-06
2019-12-06,346787,2010-02-01,2019-12-06
2019-12-06,354608,2010-03-01,2019-12-06
2019-12-06,357270,2010-04-01,2019-12-06
2019-12-06,354015,2010-05-01,2019-12-06
2019-12-06,354127,2010-06-01,2019-12-06
2019-12-06,354579,2010-07-01,2019-12-06
2019-12-06,356747,2010-08-01,2019-12-06
2019-12-06,359299,2010-09-01,2019-12-06
2019-12-06,363522,2010-10-01,2019-12-06
2019-12-06,367345,2010-11-01,2019-12-06
2019-12-06,369249,2010-12-01,2019-12-06
2019-12-06,371798,2011-01-01,2019-12-06
2019-12-06,375056,2011-02-01,2019-12-06
2019-12-06,378471,2011-03-01,2019-12-06
2019-12-06,380773,2011-04-01,2019-12-06
2019-12-06,380282,2011-05-01,2019-12-06
2019-12-06,383197,2011-06-01,2019-12-06
2019-12-06,382790,2011-07-01,2019-12-06
2019-12-06,383946,2011-08-01,2019-12-06
2019-12-06,387709,2011-09-01,2019-12-06
2019-12-06,389921,2011-10-01,2019-12-06
2019-12-06,391589,2011-11-01,2019-12-06
2019-12-06,391837,2011-12-01,2019-12-06
2019-12-06,395376,2012-01-01,2019-12-06
2019-12-06,400228,2012-02-01,2019-12-06
2019-12-06,401804,2012-03-01,2019-12-06
2019-12-06,399915,2012-04-01,2019-12-06
2019-12-06,399363,2012-05-01,2019-12-06
2019-12-06,396140,2012-06-01,2019-12-06
2019-12-06,397458,2012-07-01,2019-12-06
2019-12-06,402152,2012-08-01,2019-12-06
2019-12-06,405366,2012-09-01,2019-12-06
2019-12-06,405925,2012-10-01,2019-12-06
2019-12-06,407580,2012-11-01,2019-12-06
