realtime_start,value,date,realtime_end
2019-12-06,242006,1992-01-01,2019-12-06
2019-12-06,243508,1992-02-01,2019-12-06
2019-12-06,244490,1992-03-01,2019-12-06
2019-12-06,248011,1992-04-01,2019-12-06
2019-12-06,248451,1992-05-01,2019-12-06
2019-12-06,250561,1992-06-01,2019-12-06
2019-12-06,255808,1992-07-01,2019-12-06
2019-12-06,254217,1992-08-01,2019-12-06
2019-12-06,254826,1992-09-01,2019-12-06
2019-12-06,255151,1992-10-01,2019-12-06
2019-12-06,256549,1992-11-01,2019-12-06
2019-12-06,260277,1992-12-01,2019-12-06
2019-12-06,261977,1993-01-01,2019-12-06
2019-12-06,264812,1993-02-01,2019-12-06
2019-12-06,268089,1993-03-01,2019-12-06
2019-12-06,268440,1993-04-01,2019-12-06
2019-12-06,269177,1993-05-01,2019-12-06
2019-12-06,270101,1993-06-01,2019-12-06
2019-12-06,271413,1993-07-01,2019-12-06
2019-12-06,270425,1993-08-01,2019-12-06
2019-12-06,272235,1993-09-01,2019-12-06
2019-12-06,273558,1993-10-01,2019-12-06
2019-12-06,276059,1993-11-01,2019-12-06
2019-12-06,278477,1993-12-01,2019-12-06
2019-12-06,277376,1994-01-01,2019-12-06
2019-12-06,279423,1994-02-01,2019-12-06
2019-12-06,280320,1994-03-01,2019-12-06
2019-12-06,281775,1994-04-01,2019-12-06
2019-12-06,286905,1994-05-01,2019-12-06
2019-12-06,291434,1994-06-01,2019-12-06
2019-12-06,291509,1994-07-01,2019-12-06
2019-12-06,296381,1994-08-01,2019-12-06
2019-12-06,300093,1994-09-01,2019-12-06
2019-12-06,300409,1994-10-01,2019-12-06
2019-12-06,302308,1994-11-01,2019-12-06
2019-12-06,304483,1994-12-01,2019-12-06
2019-12-06,308180,1995-01-01,2019-12-06
2019-12-06,310376,1995-02-01,2019-12-06
2019-12-06,313061,1995-03-01,2019-12-06
2019-12-06,315718,1995-04-01,2019-12-06
2019-12-06,317587,1995-05-01,2019-12-06
2019-12-06,318321,1995-06-01,2019-12-06
2019-12-06,317658,1995-07-01,2019-12-06
2019-12-06,320043,1995-08-01,2019-12-06
2019-12-06,320168,1995-09-01,2019-12-06
2019-12-06,322429,1995-10-01,2019-12-06
2019-12-06,325199,1995-11-01,2019-12-06
2019-12-06,322191,1995-12-01,2019-12-06
2019-12-06,323183,1996-01-01,2019-12-06
2019-12-06,323893,1996-02-01,2019-12-06
2019-12-06,321429,1996-03-01,2019-12-06
2019-12-06,321992,1996-04-01,2019-12-06
2019-12-06,324466,1996-05-01,2019-12-06
2019-12-06,324831,1996-06-01,2019-12-06
2019-12-06,328889,1996-07-01,2019-12-06
2019-12-06,330734,1996-08-01,2019-12-06
2019-12-06,331602,1996-09-01,2019-12-06
2019-12-06,333928,1996-10-01,2019-12-06
2019-12-06,332953,1996-11-01,2019-12-06
2019-12-06,333222,1996-12-01,2019-12-06
2019-12-06,332840,1997-01-01,2019-12-06
2019-12-06,335174,1997-02-01,2019-12-06
2019-12-06,333469,1997-03-01,2019-12-06
2019-12-06,335254,1997-04-01,2019-12-06
2019-12-06,336473,1997-05-01,2019-12-06
2019-12-06,337897,1997-06-01,2019-12-06
2019-12-06,340104,1997-07-01,2019-12-06
2019-12-06,338699,1997-08-01,2019-12-06
2019-12-06,341704,1997-09-01,2019-12-06
2019-12-06,342191,1997-10-01,2019-12-06
2019-12-06,342204,1997-11-01,2019-12-06
2019-12-06,343814,1997-12-01,2019-12-06
2019-12-06,344034,1998-01-01,2019-12-06
2019-12-06,345791,1998-02-01,2019-12-06
2019-12-06,348276,1998-03-01,2019-12-06
2019-12-06,349454,1998-04-01,2019-12-06
2019-12-06,345996,1998-05-01,2019-12-06
2019-12-06,346399,1998-06-01,2019-12-06
2019-12-06,347939,1998-07-01,2019-12-06
2019-12-06,348021,1998-08-01,2019-12-06
2019-12-06,351166,1998-09-01,2019-12-06
2019-12-06,351763,1998-10-01,2019-12-06
2019-12-06,354587,1998-11-01,2019-12-06
2019-12-06,356513,1998-12-01,2019-12-06
2019-12-06,357835,1999-01-01,2019-12-06
2019-12-06,360879,1999-02-01,2019-12-06
2019-12-06,365384,1999-03-01,2019-12-06
2019-12-06,368213,1999-04-01,2019-12-06
2019-12-06,368974,1999-05-01,2019-12-06
2019-12-06,372083,1999-06-01,2019-12-06
2019-12-06,372344,1999-07-01,2019-12-06
2019-12-06,373289,1999-08-01,2019-12-06
2019-12-06,375272,1999-09-01,2019-12-06
2019-12-06,374742,1999-10-01,2019-12-06
2019-12-06,379746,1999-11-01,2019-12-06
2019-12-06,384074,1999-12-01,2019-12-06
2019-12-06,383759,2000-01-01,2019-12-06
2019-12-06,385329,2000-02-01,2019-12-06
2019-12-06,386654,2000-03-01,2019-12-06
2019-12-06,388123,2000-04-01,2019-12-06
2019-12-06,392519,2000-05-01,2019-12-06
2019-12-06,396765,2000-06-01,2019-12-06
2019-12-06,395542,2000-07-01,2019-12-06
