realtime_start,value,date,realtime_end
2019-12-06,1.65,1992-01-01,2019-12-06
2019-12-06,1.65,1992-02-01,2019-12-06
2019-12-06,1.67,1992-03-01,2019-12-06
2019-12-06,1.68,1992-04-01,2019-12-06
2019-12-06,1.67,1992-05-01,2019-12-06
2019-12-06,1.67,1992-06-01,2019-12-06
2019-12-06,1.70,1992-07-01,2019-12-06
2019-12-06,1.68,1992-08-01,2019-12-06
2019-12-06,1.67,1992-09-01,2019-12-06
2019-12-06,1.66,1992-10-01,2019-12-06
2019-12-06,1.67,1992-11-01,2019-12-06
2019-12-06,1.67,1992-12-01,2019-12-06
2019-12-06,1.66,1993-01-01,2019-12-06
2019-12-06,1.69,1993-02-01,2019-12-06
2019-12-06,1.73,1993-03-01,2019-12-06
2019-12-06,1.69,1993-04-01,2019-12-06
2019-12-06,1.68,1993-05-01,2019-12-06
2019-12-06,1.69,1993-06-01,2019-12-06
2019-12-06,1.67,1993-07-01,2019-12-06
2019-12-06,1.66,1993-08-01,2019-12-06
2019-12-06,1.67,1993-09-01,2019-12-06
2019-12-06,1.66,1993-10-01,2019-12-06
2019-12-06,1.66,1993-11-01,2019-12-06
2019-12-06,1.66,1993-12-01,2019-12-06
2019-12-06,1.66,1994-01-01,2019-12-06
2019-12-06,1.65,1994-02-01,2019-12-06
2019-12-06,1.62,1994-03-01,2019-12-06
2019-12-06,1.63,1994-04-01,2019-12-06
2019-12-06,1.66,1994-05-01,2019-12-06
2019-12-06,1.67,1994-06-01,2019-12-06
2019-12-06,1.67,1994-07-01,2019-12-06
2019-12-06,1.67,1994-08-01,2019-12-06
2019-12-06,1.68,1994-09-01,2019-12-06
2019-12-06,1.66,1994-10-01,2019-12-06
2019-12-06,1.67,1994-11-01,2019-12-06
2019-12-06,1.68,1994-12-01,2019-12-06
2019-12-06,1.69,1995-01-01,2019-12-06
2019-12-06,1.73,1995-02-01,2019-12-06
2019-12-06,1.73,1995-03-01,2019-12-06
2019-12-06,1.74,1995-04-01,2019-12-06
2019-12-06,1.73,1995-05-01,2019-12-06
2019-12-06,1.71,1995-06-01,2019-12-06
2019-12-06,1.71,1995-07-01,2019-12-06
2019-12-06,1.71,1995-08-01,2019-12-06
2019-12-06,1.71,1995-09-01,2019-12-06
2019-12-06,1.73,1995-10-01,2019-12-06
2019-12-06,1.72,1995-11-01,2019-12-06
2019-12-06,1.69,1995-12-01,2019-12-06
2019-12-06,1.71,1996-01-01,2019-12-06
