realtime_start,value,date,realtime_end
2019-12-06,130683,1992-01-01,2019-12-06
2019-12-06,131244,1992-02-01,2019-12-06
2019-12-06,142488,1992-03-01,2019-12-06
2019-12-06,147175,1992-04-01,2019-12-06
2019-12-06,152420,1992-05-01,2019-12-06
2019-12-06,151849,1992-06-01,2019-12-06
2019-12-06,152586,1992-07-01,2019-12-06
2019-12-06,152476,1992-08-01,2019-12-06
2019-12-06,148158,1992-09-01,2019-12-06
2019-12-06,155987,1992-10-01,2019-12-06
2019-12-06,154824,1992-11-01,2019-12-06
2019-12-06,191347,1992-12-01,2019-12-06
2019-12-06,137020,1993-01-01,2019-12-06
2019-12-06,134462,1993-02-01,2019-12-06
2019-12-06,153025,1993-03-01,2019-12-06
2019-12-06,158615,1993-04-01,2019-12-06
2019-12-06,163519,1993-05-01,2019-12-06
2019-12-06,162964,1993-06-01,2019-12-06
2019-12-06,164590,1993-07-01,2019-12-06
2019-12-06,163989,1993-08-01,2019-12-06
2019-12-06,159298,1993-09-01,2019-12-06
2019-12-06,163992,1993-10-01,2019-12-06
2019-12-06,169980,1993-11-01,2019-12-06
2019-12-06,206174,1993-12-01,2019-12-06
2019-12-06,145276,1994-01-01,2019-12-06
2019-12-06,146332,1994-02-01,2019-12-06
2019-12-06,173562,1994-03-01,2019-12-06
2019-12-06,170795,1994-04-01,2019-12-06
2019-12-06,175527,1994-05-01,2019-12-06
2019-12-06,178509,1994-06-01,2019-12-06
2019-12-06,173198,1994-07-01,2019-12-06
2019-12-06,182445,1994-08-01,2019-12-06
2019-12-06,175128,1994-09-01,2019-12-06
2019-12-06,178642,1994-10-01,2019-12-06
2019-12-06,184272,1994-11-01,2019-12-06
2019-12-06,221549,1994-12-01,2019-12-06
2019-12-06,158004,1995-01-01,2019-12-06
2019-12-06,155156,1995-02-01,2019-12-06
2019-12-06,181910,1995-03-01,2019-12-06
2019-12-06,176635,1995-04-01,2019-12-06
2019-12-06,190269,1995-05-01,2019-12-06
2019-12-06,191609,1995-06-01,2019-12-06
2019-12-06,182909,1995-07-01,2019-12-06
2019-12-06,193370,1995-08-01,2019-12-06
2019-12-06,182521,1995-09-01,2019-12-06
2019-12-06,184276,1995-10-01,2019-12-06
2019-12-06,193405,1995-11-01,2019-12-06
2019-12-06,227552,1995-12-01,2019-12-06
2019-12-06,167372,1996-01-01,2019-12-06
2019-12-06,173941,1996-02-01,2019-12-06
2019-12-06,191851,1996-03-01,2019-12-06
2019-12-06,191886,1996-04-01,2019-12-06
2019-12-06,205797,1996-05-01,2019-12-06
2019-12-06,196842,1996-06-01,2019-12-06
2019-12-06,197140,1996-07-01,2019-12-06
2019-12-06,204270,1996-08-01,2019-12-06
2019-12-06,189424,1996-09-01,2019-12-06
2019-12-06,201927,1996-10-01,2019-12-06
2019-12-06,203621,1996-11-01,2019-12-06
2019-12-06,237478,1996-12-01,2019-12-06
2019-12-06,181073,1997-01-01,2019-12-06
2019-12-06,178428,1997-02-01,2019-12-06
2019-12-06,203750,1997-03-01,2019-12-06
2019-12-06,199219,1997-04-01,2019-12-06
2019-12-06,211516,1997-05-01,2019-12-06
2019-12-06,205491,1997-06-01,2019-12-06
2019-12-06,208856,1997-07-01,2019-12-06
2019-12-06,211952,1997-08-01,2019-12-06
2019-12-06,201415,1997-09-01,2019-12-06
2019-12-06,210145,1997-10-01,2019-12-06
2019-12-06,207533,1997-11-01,2019-12-06
2019-12-06,249389,1997-12-01,2019-12-06
2019-12-06,187445,1998-01-01,2019-12-06
2019-12-06,183767,1998-02-01,2019-12-06
2019-12-06,207973,1998-03-01,2019-12-06
2019-12-06,212262,1998-04-01,2019-12-06
2019-12-06,221155,1998-05-01,2019-12-06
2019-12-06,220867,1998-06-01,2019-12-06
2019-12-06,217687,1998-07-01,2019-12-06
2019-12-06,216605,1998-08-01,2019-12-06
2019-12-06,208915,1998-09-01,2019-12-06
2019-12-06,220499,1998-10-01,2019-12-06
2019-12-06,218969,1998-11-01,2019-12-06
2019-12-06,265618,1998-12-01,2019-12-06
2019-12-06,196810,1999-01-01,2019-12-06
2019-12-06,199451,1999-02-01,2019-12-06
2019-12-06,230230,1999-03-01,2019-12-06
2019-12-06,227109,1999-04-01,2019-12-06
2019-12-06,237462,1999-05-01,2019-12-06
2019-12-06,236830,1999-06-01,2019-12-06
2019-12-06,236992,1999-07-01,2019-12-06
2019-12-06,240478,1999-08-01,2019-12-06
2019-12-06,230665,1999-09-01,2019-12-06
2019-12-06,233193,1999-10-01,2019-12-06
2019-12-06,240857,1999-11-01,2019-12-06
2019-12-06,293013,1999-12-01,2019-12-06
2019-12-06,213709,2000-01-01,2019-12-06
2019-12-06,227087,2000-02-01,2019-12-06
2019-12-06,253717,2000-03-01,2019-12-06
2019-12-06,239051,2000-04-01,2019-12-06
2019-12-06,257581,2000-05-01,2019-12-06
2019-12-06,255066,2000-06-01,2019-12-06
2019-12-06,244445,2000-07-01,2019-12-06
2019-12-06,257487,2000-08-01,2019-12-06
2019-12-06,243624,2000-09-01,2019-12-06
2019-12-06,245167,2000-10-01,2019-12-06
2019-12-06,252145,2000-11-01,2019-12-06
2019-12-06,294197,2000-12-01,2019-12-06
2019-12-06,226791,2001-01-01,2019-12-06
2019-12-06,223971,2001-02-01,2019-12-06
2019-12-06,253439,2001-03-01,2019-12-06
2019-12-06,249062,2001-04-01,2019-12-06
2019-12-06,268658,2001-05-01,2019-12-06
2019-12-06,260315,2001-06-01,2019-12-06
2019-12-06,251504,2001-07-01,2019-12-06
2019-12-06,266460,2001-08-01,2019-12-06
2019-12-06,236210,2001-09-01,2019-12-06
2019-12-06,265188,2001-10-01,2019-12-06
2019-12-06,262004,2001-11-01,2019-12-06
2019-12-06,298666,2001-12-01,2019-12-06
2019-12-06,230546,2002-01-01,2019-12-06
2019-12-06,228084,2002-02-01,2019-12-06
2019-12-06,257133,2002-03-01,2019-12-06
2019-12-06,257357,2002-04-01,2019-12-06
2019-12-06,271682,2002-05-01,2019-12-06
